--Top 10 highest paying data analyst roles that are either remote or local
SELECT
	job_id,
	job_title,
	job_location,
	job_schedule_type,
	salary_year_avg,
	job_posted_date
	-- name AS company_name
FROM
	job_postings_fact
-- LEFT JOIN company_dim ON job_postings_fact.company_id = company_dim.company_id
WHERE
	job_title = 'Data Analyst'
	AND salary_year_avg IS NOT NULL
	AND job_location = 'Anywhere'
ORDER BY
	salary_year_avg DESC 
LIMIT 10

"job_id","job_title","job_location","job_schedule_type","salary_year_avg","job_posted_date"
226942,"Data Analyst","Anywhere","Full-time","650000.0","2023-02-20 15:13:33"
712473,"Data Analyst","Anywhere","Full-time","165000.0","2023-08-14 16:01:19"
1246069,"Data Analyst","Anywhere","Full-time","165000.0","2023-12-08 09:16:37"
456042,"Data Analyst","Anywhere","Full-time","151500.0","2023-09-25 10:59:56"
479485,"Data Analyst","Anywhere","Full-time","145000.0","2023-03-15 16:59:55"
405581,"Data Analyst","Anywhere","Full-time","145000.0","2023-05-01 13:00:20"
1090975,"Data Analyst","Anywhere","Full-time","140500.0","2023-03-24 07:06:43"
1482852,"Data Analyst","Anywhere","Full-time","138500.0","2023-11-23 12:38:59"
479965,"Data Analyst","Anywhere","Full-time","135000.0","2023-02-26 01:04:44"
1326467,"Data Analyst","Anywhere","Full-time","135000.0","2023-06-26 17:00:18"
